	Xboc_CILIATED_CELLS	Xboc_EPIDERMIS	Xboc_EXCRETORY	Xboc_GLAND1	Xboc_GLAND2	Xboc_GLAND3	Xboc_GLAND4	Xboc_GUT	Xboc_MUSCLE	Xboc_MUSCLE-LIKE	Xboc_NEURON	Xboc_PHARYNGEAL	Xboc_PIGMENT	Xboc_SECRETORY_EPITHELIIUM_1	Xboc_SECRETORY_EPITHELIIUM_2	Xboc_SECRETORY_EPITHELIIUM_3	Xboc_SECRETORY_EPITHELIIUM_4	Xboc_unk1	Xboc_unk2	Xboc_unk3	Xboc_unk4	Xboc_unk5	Xboc_unk6	Xboc_unk7	Xboc_unk8	Xboc_unk9	Hmia_Digestive	Hmia_Endoderm-like I	Hmia_Endoderm-like II	Hmia_Endodermal Progenitor	Hmia_Endoerm-like III	Hmia_Epidermal	Hmia_Epidermal Progenitor	Hmia_Muscle	Hmia_Neoblast	Hmia_Neural	Hmia_Secretory	Hmia_Unknown
Xboc_CILIATED_CELLS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005624227075777843	0.0008965662564219247	0.0005058992741725634	0.010921839904243318	0.0014996173919318099	0.960270607312423	0.17723258918304463	0.014031713299934584	0.03066619791552565	0.08048291998493738	0.0017862887732474446	0.07148598770280809
Xboc_EPIDERMIS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3230977599290099	0.19675326388116116	0.8356577211000122	0.22290358543623565	0.5908651968815757	0.018236954459074178	0.10571846204531696	0.04439375919836018	0.09691181595633039	0.11256121675636513	0.009895643475580352	0.17297319268007172
Xboc_EXCRETORY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005151244033323831	0.0004989439423547834	0.0	0.02275954468485364	0.002147789274812437	0.019495835508982165	0.0036633563132117395	0.004045382900435107	0.028013884121479714	0.22152570584059342	0.0002943591927627181	0.019840154653856655
Xboc_GLAND1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04727721509035451	0.007266527784159099	0.0024639206519865534	0.015433858409123955	0.00230118828125818	0.07177853776355006	0.0026780712939848956	0.0019113121360595571	0.040293915778079545	0.050956681347720224	0.014578641478838583	0.001018155814060547
Xboc_GLAND2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034421569593552234	0.0225111746365221	0.0012075514946564842	0.03567785821298263	0.00835769699862662	0.008311759743965471	0.0005713780021274693	0.049176346584732376	0.08048655194085472	0.26158351100321486	0.0013536530752350944	0.07273262070900785
Xboc_GLAND3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09710271762590014	0.003209061099005879	0.013890978115110714	0.005013621898848243	0.004073227472804213	0.02397701459687481	0.008597250047443125	0.06686860797624113	0.05329295228086647	0.11778631231663499	0.03457063687861499	0.04017414854278676
Xboc_GLAND4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004081067101998486	0.0028973416072261846	0.002430570822111243	0.01588558667186658	0.0005247176451695859	0.022407860641942043	0.0	0.001405128985247519	0.05727623331568751	0.04843546722751371	0.0	0.0007710394747931155
Xboc_GUT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8564899124264954	0.649642866869877	0.16935924935806007	0.27903578024771225	0.11913941934795651	0.010046435091995345	0.14998279297068556	0.011755135525824339	0.1301594952923503	0.04535074090708645	0.004431286728817008	0.07196512688799109
Xboc_MUSCLE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04152870931678464	0.023152005966963547	0.009367824937038019	0.06476716445338963	0.034467187627204514	0.014897674808139272	0.020124518855105616	0.9587687794185722	0.10938630937638363	0.05325406983507451	0.0018191019181507128	0.025560766173941808
Xboc_MUSCLE-LIKE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02242025123316973	0.0016318563561576263	0.0005476272488886336	0.009700493480139186	0.0005427750506851971	0.003378705931250887	0.001971560929782511	0.11126007437279783	0.13040203826422855	0.12439249251106463	0.0026448967803987164	0.020787172927225088
Xboc_NEURON	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008725153367665378	0.0024235563034780026	0.006704078289524894	0.021071072863262427	0.007378862633102339	0.033686534207103394	0.01930443670660594	0.019386568880749848	0.07392248916942261	0.8923620749632534	0.0031015923792096435	0.1187566117871319
Xboc_PHARYNGEAL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034465847247227644	0.0014262211088140382	6.76346075787183e-05	0.011305156772397594	0.00018567630133037874	0.01336656008882168	0.015019328433886429	0.009601677268720896	0.05205275496817542	0.3423525615949067	0.000451839174608369	0.1843204402953821
Xboc_PIGMENT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011604099923548066	0.004616399480684252	0.002280467735350178	0.048873705635241356	0.0028070653229926657	0.02351868924862343	0.009873654564295899	0.017337136071967754	0.05848454430270474	0.09430992742682708	0.0042543403383125756	0.0142667937628314
Xboc_SECRETORY_EPITHELIIUM_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012061446923430526	0.0	0.0	0.010480588392540683	0.0	0.0031000797266172416	0.0005503416152932365	0.003542854383016902	0.03266716803406869	0.023983502453810236	0.9615312392518469	0.2561158367713292
Xboc_SECRETORY_EPITHELIIUM_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009241763013794363	0.0	0.0	0.0005991727736897321	0.0	0.013478391992413088	0.0	0.0027867410582910605	0.011259394424927061	0.02529162711754354	0.14483176466722572	0.5147638786155838
Xboc_SECRETORY_EPITHELIIUM_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007708011758640764	0.0005451086617942564	0.0	0.002840529100497664	0.0	0.005328252377626803	0.0	0.00020079517316456348	0.01772721999439179	0.024184363891051712	0.1334675114598982	0.6687882701036626
Xboc_SECRETORY_EPITHELIIUM_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006832149234198873	0.00103312758059671	0.0	0.013345640305693879	0.0	0.0	0.026423041505380402	0.001335727032412251	0.043545985418194384	0.02686585423131785	0.14315015216469892	0.8606528229912884
Xboc_unk1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01688773246661096	0.0030693399643945364	0.0169989478267772	0.05271266825315905	0.0014739469952593223	0.0350298153613426	0.024493044595126908	0.006145305197339598	0.26422620298063754	0.15241937922674775	0.029051958218054064	0.062861042593514
Xboc_unk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002944083391319731	0.003919724547358843	0.0004929953482753489	0.07435944931397266	0.0002965448119381215	0.023097074166315963	0.014029853206403074	0.018819431937151836	0.2850189624290758	0.09714220464608339	0.0014083483310530541	0.04757416287079748
Xboc_unk3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03468989744983743	0.014821880585838752	0.009796546247778629	0.06797348437298376	0.006627589781606063	0.03137738528083078	0.031167347307627064	0.15203343689413634	0.11027781070927307	0.2803776528526851	0.034079239590509784	0.031266535537938685
Xboc_unk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016328364291101033	0.0	0.002054818282009127	0.0013960058442197042	0.0007598037078649265	0.014214629608582918	0.005663754393166841	0.030204506477001753	0.08978968058815047	0.20565818292889984	0.0004772484680189624	0.00962461719250551
Xboc_unk5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03453963901113992	0.002755862538254325	0.0017329041477763367	0.02096312456225232	0.0004113336153776912	0.011402697908104432	0.0186355733736399	0.07160325038611316	0.11937232993102351	0.1366666351555142	0.004335308489152348	0.05608646819747557
Xboc_unk6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12517809239856975	0.03583756002612211	0.0	0.0057154370572186424	0.0	0.0	0.0008525038796675426	0.00034848221595871977	0.009694012159591054	0.00836032555920232	0.014154919787004056	0.001741494790965966
Xboc_unk7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007702219046262693	0.00391628386320075	0.001887049708861225	0.003331862772761385	0.0016087304765089229	0.02682216528832938	0.0	0.045166367692128576	0.06566616516940627	0.08080111927849462	0.000885522496939908	0.018219167414929505
Xboc_unk8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007689664190988013	0.002519535681344292	0.0	0.01741825695987558	0.0	0.02218866693134685	0.0031520813117248197	0.04139002671526696	0.05244026037514573	0.014265688021914075	0.019055000631142592	0.0
Xboc_unk9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007825765732446147	0.011761609506410302	0.02267943619826318	0.3896396639818607	0.18748957962546117	0.019816293874358362	0.47253371914950454	0.009519015852288181	0.8066863879547121	0.10805261443678944	0.0071930264744418035	0.053252145760929306
Hmia_Digestive	0.005624227075777843	0.3230977599290099	0.005151244033323831	0.04727721509035451	0.034421569593552234	0.09710271762590014	0.004081067101998486	0.8564899124264954	0.04152870931678464	0.02242025123316973	0.008725153367665378	0.0034465847247227644	0.011604099923548066	0.0012061446923430526	0.009241763013794363	0.0007708011758640764	0.006832149234198873	0.01688773246661096	0.002944083391319731	0.03468989744983743	0.0016328364291101033	0.03453963901113992	0.12517809239856975	0.007702219046262693	0.007689664190988013	0.007825765732446147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmia_Endoderm-like I	0.0008965662564219247	0.19675326388116116	0.0004989439423547834	0.007266527784159099	0.0225111746365221	0.003209061099005879	0.0028973416072261846	0.649642866869877	0.023152005966963547	0.0016318563561576263	0.0024235563034780026	0.0014262211088140382	0.004616399480684252	0.0	0.0	0.0005451086617942564	0.00103312758059671	0.0030693399643945364	0.003919724547358843	0.014821880585838752	0.0	0.002755862538254325	0.03583756002612211	0.00391628386320075	0.002519535681344292	0.011761609506410302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmia_Endoderm-like II	0.0005058992741725634	0.8356577211000122	0.0	0.0024639206519865534	0.0012075514946564842	0.013890978115110714	0.002430570822111243	0.16935924935806007	0.009367824937038019	0.0005476272488886336	0.006704078289524894	6.76346075787183e-05	0.002280467735350178	0.0	0.0	0.0	0.0	0.0169989478267772	0.0004929953482753489	0.009796546247778629	0.002054818282009127	0.0017329041477763367	0.0	0.001887049708861225	0.0	0.02267943619826318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmia_Endodermal Progenitor	0.010921839904243318	0.22290358543623565	0.02275954468485364	0.015433858409123955	0.03567785821298263	0.005013621898848243	0.01588558667186658	0.27903578024771225	0.06476716445338963	0.009700493480139186	0.021071072863262427	0.011305156772397594	0.048873705635241356	0.010480588392540683	0.0005991727736897321	0.002840529100497664	0.013345640305693879	0.05271266825315905	0.07435944931397266	0.06797348437298376	0.0013960058442197042	0.02096312456225232	0.0057154370572186424	0.003331862772761385	0.01741825695987558	0.3896396639818607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmia_Endoerm-like III	0.0014996173919318099	0.5908651968815757	0.002147789274812437	0.00230118828125818	0.00835769699862662	0.004073227472804213	0.0005247176451695859	0.11913941934795651	0.034467187627204514	0.0005427750506851971	0.007378862633102339	0.00018567630133037874	0.0028070653229926657	0.0	0.0	0.0	0.0	0.0014739469952593223	0.0002965448119381215	0.006627589781606063	0.0007598037078649265	0.0004113336153776912	0.0	0.0016087304765089229	0.0	0.18748957962546117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmia_Epidermal	0.960270607312423	0.018236954459074178	0.019495835508982165	0.07177853776355006	0.008311759743965471	0.02397701459687481	0.022407860641942043	0.010046435091995345	0.014897674808139272	0.003378705931250887	0.033686534207103394	0.01336656008882168	0.02351868924862343	0.0031000797266172416	0.013478391992413088	0.005328252377626803	0.0	0.0350298153613426	0.023097074166315963	0.03137738528083078	0.014214629608582918	0.011402697908104432	0.0	0.02682216528832938	0.02218866693134685	0.019816293874358362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmia_Epidermal Progenitor	0.17723258918304463	0.10571846204531696	0.0036633563132117395	0.0026780712939848956	0.0005713780021274693	0.008597250047443125	0.0	0.14998279297068556	0.020124518855105616	0.001971560929782511	0.01930443670660594	0.015019328433886429	0.009873654564295899	0.0005503416152932365	0.0	0.0	0.026423041505380402	0.024493044595126908	0.014029853206403074	0.031167347307627064	0.005663754393166841	0.0186355733736399	0.0008525038796675426	0.0	0.0031520813117248197	0.47253371914950454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmia_Muscle	0.014031713299934584	0.04439375919836018	0.004045382900435107	0.0019113121360595571	0.049176346584732376	0.06686860797624113	0.001405128985247519	0.011755135525824339	0.9587687794185722	0.11126007437279783	0.019386568880749848	0.009601677268720896	0.017337136071967754	0.003542854383016902	0.0027867410582910605	0.00020079517316456348	0.001335727032412251	0.006145305197339598	0.018819431937151836	0.15203343689413634	0.030204506477001753	0.07160325038611316	0.00034848221595871977	0.045166367692128576	0.04139002671526696	0.009519015852288181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmia_Neoblast	0.03066619791552565	0.09691181595633039	0.028013884121479714	0.040293915778079545	0.08048655194085472	0.05329295228086647	0.05727623331568751	0.1301594952923503	0.10938630937638363	0.13040203826422855	0.07392248916942261	0.05205275496817542	0.05848454430270474	0.03266716803406869	0.011259394424927061	0.01772721999439179	0.043545985418194384	0.26422620298063754	0.2850189624290758	0.11027781070927307	0.08978968058815047	0.11937232993102351	0.009694012159591054	0.06566616516940627	0.05244026037514573	0.8066863879547121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmia_Neural	0.08048291998493738	0.11256121675636513	0.22152570584059342	0.050956681347720224	0.26158351100321486	0.11778631231663499	0.04843546722751371	0.04535074090708645	0.05325406983507451	0.12439249251106463	0.8923620749632534	0.3423525615949067	0.09430992742682708	0.023983502453810236	0.02529162711754354	0.024184363891051712	0.02686585423131785	0.15241937922674775	0.09714220464608339	0.2803776528526851	0.20565818292889984	0.1366666351555142	0.00836032555920232	0.08080111927849462	0.014265688021914075	0.10805261443678944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmia_Secretory	0.0017862887732474446	0.009895643475580352	0.0002943591927627181	0.014578641478838583	0.0013536530752350944	0.03457063687861499	0.0	0.004431286728817008	0.0018191019181507128	0.0026448967803987164	0.0031015923792096435	0.000451839174608369	0.0042543403383125756	0.9615312392518469	0.14483176466722572	0.1334675114598982	0.14315015216469892	0.029051958218054064	0.0014083483310530541	0.034079239590509784	0.0004772484680189624	0.004335308489152348	0.014154919787004056	0.000885522496939908	0.019055000631142592	0.0071930264744418035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmia_Unknown	0.07148598770280809	0.17297319268007172	0.019840154653856655	0.001018155814060547	0.07273262070900785	0.04017414854278676	0.0007710394747931155	0.07196512688799109	0.025560766173941808	0.020787172927225088	0.1187566117871319	0.1843204402953821	0.0142667937628314	0.2561158367713292	0.5147638786155838	0.6687882701036626	0.8606528229912884	0.062861042593514	0.04757416287079748	0.031266535537938685	0.00962461719250551	0.05608646819747557	0.001741494790965966	0.018219167414929505	0.0	0.053252145760929306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
